,subject,predicate,object,negated,source_quote
588,Anytown Broker,submits additional information about,Anywhere City,FALSE,"In this example, Anytown Broker submits additional information about the accounts of Anywhere City and The Smith Family Trust."
589,Anytown Broker,submits additional information about,The Smith Family Trust,FALSE,"In this example, Anytown Broker submits additional information about the accounts of Anywhere City and The Smith Family Trust."
590,insurance calculation,is completed for,the brokered account deposit of Anywhere City,FALSE,An insurance calculation is completed for the brokered account deposit of Anywhere City
591,Anywhere,is added to,the Account output file,FALSE,and Anywhere is added to the Account output file.
592,John,is added to,the Account output file,FALSE,John is added to the Account output file.
593,B3,-->,1278658 6789535353 SGL CDS 200000 200000 170000 30000,FALSE,(No Change) B3 --> 1278658 6789535353 SGL CDS 200000 200000 170000 30000
594,B4,-->,1278658 87345123907 SGL CDS 150000 150000 0 150000 Y,FALSE,(No Change) B4 --> 1278658 87345123907 SGL CDS 150000 150000 0 150000 Y
595,C 1,-->,6489649 2345535353 BUS DDA 200000 200000 200000 0,FALSE,(No Change) C 1 --> 6489649 2345535353 BUS DDA 200000 200000 200000 0
596,C2,-->,6489649 3456535353 BUS DDA 40000 40000 40000 0,FALSE,(No Change) C2 --> 6489649 3456535353 BUS DDA 40000 40000 40000 0
597,C3,-->,6489649 87345123907 BUS CDS 100000 100000 10000 90000 Y,FALSE,(No Change) C3 --> 6489649 87345123907 BUS CDS 100000 100000 10000 90000 Y
598,D1,-->,661234567 87345123907 GOV CDS 750000 750000 500000 250000 Y,FALSE,(New) D1 --> 661234567 87345123907 GOV CDS 750000 750000 500000 250000 Y
599,E1,-->,333445555 87345123907 TST CDS 1000000 1000000 500000 500000 Y,FALSE,(New) E1 --> 333445555 87345123907 TST CDS 1000000 1000000 500000 500000 Y
600,"B4,C3,D1,E1",-->,6578658 87345123907 CDS 2000000 2000000 1010000 990000 Y,FALSE,"(Updated) B4,C3,D1,E1 6578658 87345123907 CDS 2000000 2000000 1010000 990000 Y"
601,ARE,has provided,beneficiary or other relevant account participant information,FALSE,When the ARE has provided beneficiary or other relevant account participant information...
602,Account Participant output file,will be created for,each participant,FALSE,"an Account Participant output file record will be created for each participant, as necessary..."
603,Account Participant output file,will have,one record for each unique combination of customer/account/account participant (CS_Unique_ID/DP_Acct_Identifier/AP_Participant_ID),FALSE,"At the end of Time Period 5, the Account Participant output file will have one record for each unique combination of customer/account/account participant..."
604,Account Participant output file records,will be created for,the account participants Anytown Broker has provided,FALSE,"In this example, Account Participant output file records will be created for the account participants Anytown Broker has provided..."
605,Pending output file,only contains,records of deposit balances for which an insurance determination has not yet been completed,FALSE,The Pending output file only contains records of deposit balances for which an insurance determination has not yet been completed.
606,Pending output file,contains,records of deposit balances for which an insurance determination has not yet been completed,FALSE,The Pending output file only contains records of deposit balances for which an insurance determination has not yet been completed.
607,Pending_Reason code,will be associated with,each Pending output file record,FALSE,A “Pending_Reason” code will be associated with each Pending output file record.
608,each record’s PT_Parent_Customer_ID field,will be populated with,the unique identifier of the parent customer ID,FALSE,each record’s “PT_Parent_Customer_ID” field will be populated with the unique identifier of the parent customer ID who has fiduciary responsibility at the covered institution.
609,Records without an entry in the PT_Parent_Customer_ID field,are recognized as,the parent account,FALSE,Records without an entry in the “PT_Parent_Customer_ID” field are recognized as the parent account.
610,the sum of the DP_Allocated_Amt balances with assigned DP_Right_Capacity codes,combined with,the sum of the AP_Allocated_Amount balances for the parent account records in the Pending output file,FALSE,"the sum of the “DP_Allocated_Amt” balances with assigned “DP_Right_Capacity” codes in the records of the Account output file, combined with the sum of the “AP_Allocated_Amount” balances for the parent account records in the Pending output file."
611,the sum of the DP_Allocated_Amt balances with assigned DP_Right_Capacity codes,will equal,the total of the deposit account balances at the CI,FALSE,will equal the total of the deposit account balances at the CI.
612,D1,has_account,661234567,FALSE,(New) D1 --> 661234567 87345123907 GOV CDS 375000 333345678 333345678 SSN Harry Jones OC
613,E1,has_account,333445555,FALSE,(New) E1 --> 333445555 87345123907 TST CDS 500000 444567890 444567890 SSN Bob Adams BEN
614,Demand Deposit Account,is,a deposit that is payable on demand and for which the depository institution does not reserve the right to require at least seven days' written notice of an intended withdrawal,FALSE,A Demand Deposit Account is a deposit that is payable on demand and for which the depository institution does not reserve the right to require at least seven days' written notice of an intended withdrawal.
615,Demand Deposit Accounts,includes,Checking (Non-Interest and Interest bearing),FALSE,The following deposit types are included within the definition of Demand Deposit Accounts: • Checking (Non -Interest and Interest bearing)
616,Electronic Transmitter Identification Number,is,a 5-digit identification number assigned by the IRS to a participant in IRS e-file that performs activity of transmission and/or software development,FALSE,A 5-digit identification number assigned by the IRS to a participant in IRS e-file that performs activity of transmission and/or software development.
617,Individual Retirement Account,is,a retirement savings program for individuals to which yearly tax-deductible contributions up to a specified limit can be made,FALSE,A retirement savings program for individuals to which yearly tax-deductible contributions up to a specified limit can be made.
618,amount contributed,is not taxed until,withdrawn,FALSE,The amount contributed is not taxed until withdrawn.
619,Part 370 recordkeeping and reporting,should utilize,ownership right and capacity codes 'REV' and 'IRR',FALSE,"Part 370 recordkeeping and reporting should utilize ownership right and capacity codes 'REV' and 'IRR' for trust accounts insured as described in §§ 330.10 and 330.13 until March 31, 2024."
620,Part 370 recordkeeping and reporting,should utilize,ownership right and capacity code 'TST',FALSE,"On and after April 1, 2024, Part 370 recordkeeping and reporting should utilize ownership right and capacity code 'TST' for the combined revocable and irrevocable trust category set forth in the revision of § 330.10 that takes effect on April 1, 2024."
621,Money Market Demand Account,is,a financial account that pays interest based on current interest rates in the money markets,FALSE,Money Market Demand Account A financial account that pays interest based on current interest rates in the money markets.
622,Negotiable Order of Withdrawal,is,a savings account from which withdrawals can be made by negotiable orders of withdrawal,FALSE,Negotiable Order of Withdrawal A savings account from which withdrawals can be made by negotiable orders of withdrawal (functional equivalent of checks).
623,Negotiable Order of Withdrawal,is,an interest-bearing account for which the bank must reserve the right to require the depositor to provide at least seven days’ notice of his/her intent to withdraw funds,FALSE,This is an interest-bearing account for which the bank must reserve the right to require the depositor to provide at least seven days’ notice of his/her intent to withdraw funds.
624,Official Item,is,an item that the bank issues with guaranteed funds,FALSE,Official Item An item that the bank issues with guaranteed funds.
625,Official Item,is also called,Cashier’s check,FALSE,Also called Cashier’s check
626,bank,issues,item with guaranteed funds,FALSE,An item that the bank issues with guaranteed funds.
627,Savings Incentive Match Plan for Employees,is known by the abbreviation,SIMPLE IRA,FALSE,"Savings Incentive Match Plan for Employees Individual Retirement Account, commonly known by the abbreviation 'SIMPLE IRA,'"
628,SMDIA,is defined in,12 U.S.C. 1821(a)(1)(E),FALSE,"As defined in 12 U.S.C. 1821(a)(1)(E), SMDIA is the maximum insured amount per depositor, per insured bank, for each account ownership category."
629,Social Security Number,is assigned to,"citizens, some temporary residents and permanent residents",FALSE,"A nine-digit number assigned to citizens, some temporary residents and permanent residents in order to track their income and determine benefit entitlements."
